_c-tdf N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.65,0.69,0.66,305
2,0.94,0.92,0.93,1520
avg,0.79,0.80,0.80,1825

 HELDOUT :
,precision, recall, f1, support
0,0.66,0.80,0.72,109
2,0.95,0.91,0.93,500
avg,0.81,0.86,0.83,609

_c-tdf N-FOLD AVERAGE :
,precision, recall, f1, support
0,0.37,0.41,0.39,1069
1,0.94,0.92,0.93,14396
2,0.82,0.87,0.84,3122
avg,0.71,0.73,0.72,18587

 HELDOUT :
,precision, recall, f1, support
0,0.35,0.42,0.38,361
1,0.94,0.91,0.93,4794
2,0.81,0.88,0.84,1041
avg,0.70,0.73,0.72,6196

