110,feature_vocab_ngram,arrest
128,feature_vocab_ngram,attempt
171,feature_vocab_ngram,becaus
192,feature_vocab_ngram,bg
196,feature_vocab_ngram,bill
197,feature_vocab_ngram,biolog
200,feature_vocab_ngram,black
213,feature_vocab_ngram,blog post
234,feature_vocab_ngram,boyfriend
254,feature_vocab_ngram,bunch
262,feature_vocab_ngram,ca
301,feature_vocab_ngram,cfp
341,feature_vocab_ngram,colin
361,feature_vocab_ngram,concept
364,feature_vocab_ngram,confirm
380,feature_vocab_ngram,contribut
381,feature_vocab_ngram,control
382,feature_vocab_ngram,convers
386,feature_vocab_ngram,cooki
416,feature_vocab_ngram,creepi
448,feature_vocab_ngram,deal
455,feature_vocab_ngram,decis
469,feature_vocab_ngram,dessert
486,feature_vocab_ngram,differ
518,feature_vocab_ngram,donat
523,feature_vocab_ngram,dont even know
590,feature_vocab_ngram,enabl
609,feature_vocab_ngram,es
610,feature_vocab_ngram,especi
668,feature_vocab_ngram,fav
681,feature_vocab_ngram,fell
682,feature_vocab_ngram,felt
686,feature_vocab_ngram,femin aw
704,feature_vocab_ngram,feminazi rush doe
738,feature_vocab_ngram,forc
759,feature_vocab_ngram,fring
799,feature_vocab_ngram,gg
801,feature_vocab_ngram,ggautoblock
804,feature_vocab_ngram,girl
805,feature_vocab_ngram,girl dev
880,feature_vocab_ngram,hard
886,feature_vocab_ngram,hate
909,feature_vocab_ngram,hire
919,feature_vocab_ngram,honestli
934,feature_vocab_ngram,humbl
940,feature_vocab_ngram,ice
985,feature_vocab_ngram,indiass rape problem
1000,feature_vocab_ngram,instant restaur
1022,feature_vocab_ngram,irrit
1040,feature_vocab_ngram,j
1056,feature_vocab_ngram,journal
1061,feature_vocab_ngram,justic warrior
1067,feature_vocab_ngram,kati
1126,feature_vocab_ngram,led
1134,feature_vocab_ngram,leo
1136,feature_vocab_ngram,leonard nimoy
1198,feature_vocab_ngram,mad
1199,feature_vocab_ngram,made
1248,feature_vocab_ngram,meet
1252,feature_vocab_ngram,men bcz
1271,feature_vocab_ngram,million
1296,feature_vocab_ngram,month
1352,feature_vocab_ngram,nois
1443,feature_vocab_ngram,pathet
1514,feature_vocab_ngram,present
1576,feature_vocab_ngram,quiet
1582,feature_vocab_ngram,r u
1583,feature_vocab_ngram,r u l
1595,feature_vocab_ngram,randi io
1684,feature_vocab_ngram,rock
1725,feature_vocab_ngram,scale
1730,feature_vocab_ngram,score
1757,feature_vocab_ngram,sent
1764,feature_vocab_ngram,set
1765,feature_vocab_ngram,set fire
1766,feature_vocab_ngram,sever
1806,feature_vocab_ngram,side
1832,feature_vocab_ngram,slut sexretari feminazi
1859,feature_vocab_ngram,sound
1933,feature_vocab_ngram,suspend
1969,feature_vocab_ngram,term feminazi
2039,feature_vocab_ngram,throw
2055,feature_vocab_ngram,tomorrow
2228,feature_vocab_ngram,whi thi
2242,feature_vocab_ngram,wish
2245,feature_vocab_ngram,woc
2249,feature_vocab_ngram,woman tech
2285,feature_vocab_ngram,wtf
2286,feature_vocab_ngram,x
2493,feature_vocab_pos_2skip_bigram,"('nn', 'rbr')"
2512,feature_vocab_pos_2skip_bigram,"('pdt', 'nn')"
2586,feature_vocab_pos_2skip_bigram,"('rp', 'rb')"
2620,feature_vocab_pos_2skip_bigram,"('uh', 'dt')"
2836,feature_vocab_td_other,num_hashtags
2840,feature_vocab_chase_hashtag,#mkr
2864,feature_vocab_chase_hashtag,#cohen
2945,feature_vocab_chase_hashtag,#go
3013,feature_vocab_chase_hashtag,#baharmustafa
3021,feature_vocab_chase_hashtag,#gets
