,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
22893,23373,3,0,3,0,2,Why is this bitch throwing condoms? Lmao
18933,19352,3,0,1,2,2,RT @dsrtvet: @FoxNews @tjoy7 And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&#8230;
18541,18950,3,0,0,3,2,"RT @alicia_garcia3: ""That's why God made brownies. To replace boys."""
11578,11872,3,0,3,0,2,If that's yo hoe ... That's my hoe 2
7699,7916,3,1,2,0,2,Am sorry I can't stand stand some black females especially the full breaded Africans bitches being have std and shit I prefer white girls
20321,20767,3,0,3,0,2,RT @willyroast2: yo girl pussy stank @SoloExMachina This tweet stinks RT @willyroast2: There is no suck thing as a faithful bitch in Washin&#8230;
23009,23490,3,0,3,0,2,Wussup pussies ;) #ImBack #NewTwitter
6639,6825,3,0,3,0,2,@marshabitch don't start lil bitch
15650,16016,3,0,3,0,2,"RT @IndiaMone: LOL RT @JoeBudden: Wait a minute, I&#8217;m seeing mad dope costumes.. Yall stop trying to steal Halloween back from the hoes !!!"
17307,17702,3,0,3,0,2,RT @ShowMeATittie: This bitch on Maury a thug
18190,18595,3,0,3,0,2,RT @YoungGizzle_: First thing I look at is what's on a bitch feet
2416,2466,3,0,0,3,2,@Alludra_AIE just remember to keep the skirt dark colored. It camouflages all that pan dimensional gore
24447,24953,3,0,3,0,2,some cunt go get me amber leaf and papers? cani be arsed walking to nisa #lazy
1614,1649,3,0,3,0,2,&#8220;@YaBoyRoshi: When you try to smash but that pussy stank http://t.co/alfwPUmnls&#8221;
17148,17539,3,1,2,0,2,"RT @Ruthless_Mando: no bitch, I just don't like you &#128129;"
9273,9529,6,2,4,0,2,"Fuck that new bitch , that you think you found."
8976,9225,3,0,3,0,2,Every chick say that she a bad bitch.
22488,22963,3,2,1,0,0,Watch out nigger lovers. You day is coming. http://t.co/ZV1CpK1iy8
18896,19315,3,0,3,0,2,"RT @djgoofy500: I gave my number to this bad ass bitch a few days ago,She said I'll call you when I make it home. I'm starting to think tha&#8230;"
