,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
9347,9604,3,1,2,0,1,Fukn wit my nicca Luey boi .. Smoking gas .. Jus kickn shit .. #WhereYallAtWitIt
10172,10446,3,0,3,0,1,I did everything but trust these hoes !
12013,12317,3,0,0,3,2,Its suppose to be yellow but we dont do yellow &#127821;&#128520;&#128127;&#128127;&#128520;&#128127;&#128127;&#128127; http://t.co/y1hLiBjQmn
3565,3661,3,0,3,0,1,@JRise88 do it then pussy
12333,12645,3,0,3,0,1,Leave it up to Ronson to make my ass laugh when I'm heated.... Fucking bitch ...
3959,4076,6,0,6,0,1,@LouieVRee @TehReelHov dat bitch a tampon
7344,7554,3,0,3,0,1,@xoxox_jordan bitch shut up men are talking an @justinmiculka01 @ShaneQuintero
15895,16264,3,0,3,0,1,RT @JustKarahn: &#8220;@what_iDO: Karahn jus called her future baby a lil shit&#128565;&#128565;&#128565;&#128514;&#128514;&#128514;&#128514;&#128514;&#8221; bitch tell the world why don't you &#128530;
21638,22101,3,0,3,0,1,The world will be a better place when bitches like her dies lonely http://t.co/vj45zL1zKF
19950,20391,3,0,3,0,1,RT @ryancruz_: Want me to stamp bitches be saying anything to be down &#128564;
3285,3371,3,0,0,3,2,@GoneWithKalijah She was always a pathetic mutt desperately seeking attention &amp; a purpose. No matter what JP writes that will never change
22168,22637,3,0,3,0,1,"Those ""tell me about yourself "" lookin ass niggas ... Ima crazy bitch that's all you need to know."
13217,13543,3,0,3,0,1,Never again will I put so much into a relationship unless the bitch ACTUALLY puts more effort into it than me.
19875,20316,3,0,3,0,1,"RT @queenallyssa: When your man call you a bitch when y'all arguing he don't think you really a bitch, you just actin like one"
1864,1902,3,0,3,0,1,&#8220;@nicekicks_nico: I see so many mad hoes on the tl. Tht shit should be illegal.&#8221;tbh
4262,4388,3,0,3,0,1,@New_Dinero Alright pussy.
2802,2870,3,1,2,0,1,@CeeNCrumpets self low down black bitch?
24115,24616,3,1,2,0,1,jacobs just like stfu bitch
1267,1295,3,1,2,0,1,&#8220;@FxckAshUK: @TheKaosYatti Ain't my gf you lil nigguh stfu &#128557;&#128514;&#8221; glory be to GOD then lmfaooooooo &#128557;&#128554;&#128517;
20292,20737,9,0,9,0,1,RT @vinnycrack: this bitch got the itunes terms and conditions tattooed on her http://t.co/dHRVCNRR1H
4439,4570,3,0,3,0,1,@PrissyPisces_ I'm talkin bout sluts and hoes in general
11080,11366,3,0,3,0,1,I will not leave my nigga but you can be my bitch too #idgt &#128526;&#128175;&#128074; http://t.co/EXJvKjcXEZ
8281,8511,3,0,3,0,1,Caleb needs to stop being a little bitch.
22198,22668,3,0,2,1,1,Tired of these butthurt @samsung commercials. Ya phones trash b.. We don't want em
7037,7234,3,0,0,3,2,@sisternoles Fingers crossed for you. If not? Chug chug chug lol
10046,10319,3,0,3,0,1,I be lonely&#128514;&#128514; I have no hoes &#128553;&#128514;&#9995;
11122,11409,3,0,3,0,1,"I wonder who wrote that blog... Either a hoe dat let a few of them niggas beat to no avail, or a bitch nigga who hoe let a few of em beat"
18832,19249,3,0,1,2,2,RT @daliasza: &#8220;@NoChillPaz: Me when somebody says Childish Gambino is trash http://t.co/8ejOHDLdD9&#8221;
14082,14422,6,0,6,0,1,RT @AMGLLCCEO: When you die but a bad bitch walk in yo funeral &#128526;&#128526;&#128514;&#128514;&#128514;&#128514; http://t.co/YZs9DQVqDV
