,ds,Unnamed: 1,count,hate_speech,offensive_language,neither,class,tweet,id
3750,td,3778,0,0,0,0,2,&#8220;@ImToBlame: Bruh RT @PriscoCBS: Trent took the yellow path http://t.co/1XxGuKtjp8&#8221;&#128514;&#128514;&#128514;&#128514;,
14309,td,14337,0,0,0,0,2,It ain't nunn to cut that bitch off&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;&#9986;&#65039;,
1149,c,1157,0,0,0,0,2,@RexHuppke Of course he wouldn't comment on the Muslim attack. Now if it had been a Muslim attacking white people well you know....,8.77248984376541E+017
13246,td,13274,0,0,0,0,2,I picked Welbeck for my team. I have to be some kind of cunt yes,
18142,td,18170,0,0,0,0,2,"RT @JMuggaaa: ""@TheKaosYatti: &#8220;@JMuggaaa: Not looking for love one day it'll find me. Until then.....&#8221;Keep fuckin dese hoes&#128540; yolo""&#128553;&#128514; I ain&#8230;",
3747,td,3775,0,0,0,0,2,&#8220;@Iamjayla__: @WB_Pooh_3x Bol that called the girl a bitch&#8221;Oharrd coo I'm both of them tho &#128526;&#128076;&#128175;,
12720,td,12748,0,0,0,0,2,I feel like that niggah Pac these bitches set me up.,
17897,td,17925,0,0,0,0,2,RT @HennyHeathen: The fuuuck happened to her ? RT. @MrLondon_: Ain't nothin worse than a bad bitch that lost it &#128532; http://t.co/aWJDYD8UzK,
25383,td,25411,0,0,0,0,2,Wiz khalifa was the most influential rapper in my era. We seem to forget all the trends this nigguh started,
24110,td,24138,0,0,0,0,2,There is a trash bag in my hall thats been there for like 2 wks. Weird thing: it changes consistency every few days,
10232,td,10260,0,0,0,0,2,Apple sauce bitch.,
25239,td,25267,0,0,0,0,2,Who is that pink hat guy Cody? Caleb? Either way he is a over emotional bitch. #BB16,
5552,td,5580,0,0,0,0,2,@EmmaNillaNilla cocky sons of bitches,
21889,td,21917,0,0,0,0,2,RT @kooleyCobain: You can't find what you lookin for cuz you too busy likin 2 or 3 bitches at a time and all the same.,
22448,td,22476,0,0,0,0,2,RT @silent_musings: Over-thinking can and will fuck up the simplest things. Lighten up bitches.,
14997,td,15025,0,0,0,0,2,Lmfaooooooooo bro RT @BrandNewAndrew: Strippers on twitter talking about how much money they made tonight. Like bitch i will rob you,
7350,td,7378,0,0,0,0,2,@TheGamecubeGuy I liked the day a bird got in your classroom.,
6333,td,6361,0,0,0,0,2,@LegoHeeadd I read that in his voice like a hoe&#128514;,
25561,td,25589,0,0,0,0,2,Yeah hoe,
20897,td,20925,0,0,0,0,2,RT @_juicewayne: I swear it's the huge bitches that think they the baddest,
21975,td,22003,0,0,0,0,2,RT @lilduval: One good woman is worth a thousand bad bitches......but I still wanna fuck a thousand bitches,
16420,td,16448,0,0,0,0,2,RT @120Sports: Twitter tipped its cap to say #FarewellCaptain to Jeter in his Yankee Stadium finale. VIDEO: http://t.co/QdldmWBwXJ http://t&#8230;,
1618,c,1638,0,0,0,0,2,Three Fireman gay porn gays gay cumshots swallow stud hunk https://t.co/Uh9mFR4nL4,8.75009632682598E+017
161,c,161,0,0,0,0,0,RT @dckolarik: @DuckGuyy42 I second that!  GFY Hakeem! 🖕🖕🖕  #BanISLAM  #BanMUSLIMS while were at it!,8.74811011227935E+017
13036,td,13064,0,0,0,0,2,I just want the bad hoes and I wanna reach the children,
15401,td,15429,0,0,0,0,2,My bitch bad,
4526,td,4554,0,0,0,0,2,' See I gotta get this money ma palms itchin  niggahs gossip like hoes most of them bitches .,
10097,td,10125,0,0,0,0,2,Allergies ain't bothered me all summer now all of a sudden in the middle of august shit is startin to get real. Ain't that about a bitch,
19734,td,19762,0,0,0,0,2,RT @Shoq: He no doubt copied it from someone else. RT @KilloughCNN: Alert: The mock turtleneck is back. http://t.co/uM7aTH7tHT,
