,ds,Unnamed: 1,count,hate_speech,offensive_language,neither,class,tweet,id
15011,td,15039,0,0,0,0,2,Lol I told my brother imma good christin girl he said nah u a wholesome hoe lmaoo so bogus who says shit like dat he mean af,
8599,td,8627,0,0,0,0,2,@imxnii_ I swear this is just disgraceful like a bitch line a really be dry all day I'll only get emails from pacsun ! &#128557;&#128299;,
22731,td,22759,0,0,0,0,2,RT @walshnyc: Which World Cup Teams Are Jihadis Rooting For? http://t.co/ecU754zHKk @versharma @vocativ http://t.co/8z0B7ocMqP,
8368,td,8396,0,0,0,0,2,@erinscafe If I have to watch baseball I actually go for the Mets because Jon Stewart. And fuck the Yankees.,
6862,td,6890,0,0,0,0,2,@Pribski86 idgaf hoe,
16031,td,16059,0,0,0,0,2,Omg I will just go to Charlie Bear to twerk team I fucks with them,
5867,td,5895,0,0,0,0,2,@I12sing pussy.... I ain't had a coochie since I was 16 &#128514;&#128514;,
6605,td,6633,0,0,0,0,2,@MrInfernusHD Squad builders gets you bitches,
4796,td,4824,0,0,0,0,2,@AbstractLife yeah. can't lie tho spitting on a cop car right with their bitch ass in it feels damn good.,
20006,td,20034,0,0,0,0,2,RT @TazheAdorn: Yall ladies ever have on a tank top or something . . &amp; like one of your nips was just chilling outside the shirt and you d&#8230;,
510,c,510,0,0,0,0,2,BUT But Buh...what about that dead baby on the beach that time! #RefugeesNotWelcome https://t.co/2fKCpmcKsb,8.74795477375619E+017
6411,td,6439,0,0,0,0,2,@MANIAC3X I almost have enough rank to buy some stuff from the purple bitch. What should I buy from the exotic guy?,
18088,td,18116,0,0,0,0,0,RT @Isa__Lopez: @D_Lo520 but you're still a faggot,
16633,td,16661,0,0,0,0,2,RT @AnthonyBialy: .@SenatorReid I'm sure this tweet will protect you from karmic payback bitch.,
21351,td,21379,0,0,0,0,2,RT @dril: hoo boy... these guinea pigd love to shit. shouldn't have ordered the full dozen,
11802,td,11830,0,0,0,0,0,Gabby's a bitch and has two accounts,
10386,td,10414,0,0,0,0,2,Bc I got too many bitches &#128514;&#128514;&#128514;,
8419,td,8447,0,0,0,0,0,@fucktyler me too Tyler it just makes me think that they're lil nigger baby hoodrats.,
18126,td,18154,0,0,0,0,2,RT @JBilinovich: You may be redneck if you put steak seasoning on popcorn @weidie1211,
685,c,685,0,0,0,0,2,Finsbury Park attack: 'My dad got hit' https://t.co/nKOZ16VItQ,8.77233658746347E+017
10776,td,10804,0,0,0,0,2,Can't keep a bitch but its cool cause money still around,
24957,td,24985,0,0,0,0,2,We know what this hoe gonna do for her bday now cc:@TheShugAvery RT @OMGitsKariC: @moyizzy I plan on it &#128520;,
13496,td,13524,0,0,0,0,2,I was working hard as a bitch today i deserve a reward.,
13343,td,13371,0,0,0,0,2,I swear I needa go on n go back to the old me because bitches think its a game apparently. Let's be real !,
1013,c,1013,0,0,0,0,2,Islamic Terrorist shouted Allah Akbar before being neutralized by police. https://t.co/mgzGk8PhQP,8.77261085551866E+017
9179,td,9207,0,0,0,0,2,@n0tsteven whatever you wall hackin pussy bich I'll fuk u up like I did ur mum ur sis ur step sis ur mums mum ur mums aunt 420 bich bich,
13853,td,13881,0,0,0,0,2,I'm tryna face fuck kesha you bitches bringin beef I'll get the lettuce n ketchup,
5806,td,5834,0,0,0,0,2,"@HilareeJay I hate those creepy ass dolls that call you dada I'm like ""bitch I ain't yo daddy""",
23359,td,23387,0,0,0,0,2,So I keep cool but in the back of my mind I'm like did des hoes just come on my mf porch like ik dem,
14728,td,14756,0,0,0,0,2,Ladies RT if your head game better than your pussy,
13311,td,13339,0,0,0,0,2,I should be the only nigga my bitch texting right now&#128175;&#128175;&#128175;&#128175;&#128175;,
18766,td,18794,0,0,0,0,2,RT @MLBFanCave: Derek Jeter and the @Yankees present Paul Konerko with a retirement gift.  WATCH: http://t.co/St6QGJy0j6 http://t.co/7zBGvH&#8230;,
1884,c,1904,0,0,0,0,2,#ASD and #disability sessions now Every Tuesday 6pm-7pm and Sunday 10am-11am  £5 per person… https://t.co/jfDqB75HZx,8.75031698244862E+017
25091,td,25119,0,0,0,0,2,When I see a fine bitch I don't get excited,
4363,td,4391,0,0,0,0,2,&#8220;@tricethatruth_: Trap keep me fly that's why I love him &#10084; http://t.co/AleXGC24t4&#8221; ayyyyy you got that hoe at Forever 21 huh? &#128526;,
11143,td,11171,0,0,0,0,2,Dez is caked up with some bitch or something cause hes not playing like Dez Bryant,
8045,td,8073,0,0,0,0,2,@bill_gaines @MorningJoe ATF is in charge of prosecuting cases and the #teabagger Republicans won't confirm a director to lead the agency.,
21558,td,21586,0,0,0,0,2,RT @iAmScottyBravo: I hate when old bitches&#128117; wear clothes these young hoes be wearing&#128135;&#128089;&#128096; like stay yo ass&#9995;&#128530; in yo age group,
7835,td,7863,0,0,0,0,2,@_icantmiss send that hoe &#128514;&#128514;,
23966,td,23994,0,0,0,0,2,The boy who shot albino deer http://t.co/D4XajBEIb1,
314,c,314,0,0,0,0,2,@politicshome THIS IS VERY GOOD NEWS! #Brexit MUST MEAN #Brexit! #QueensSpeech #refugeesNOTwelcome,8.77552129849819E+017
21446,td,21474,0,0,0,0,2,"RT @freckle_juice: if a ""man"" tells you he doesn't eat pussy &amp;expects to have sex just laugh. laugh as u put your clothes on laugh as u g&#8230;",
549,c,549,0,0,0,0,0,@adlinsfea Islam is evil. A killing machine that needs to be stopped! https://t.co/MA9o9CAfzo,8.77278701162988E+017
18969,td,18997,0,0,0,0,2,RT @Mr_MshkL: &#1589;&#1608;&#1585;&#1577; &#1604;&#1591;&#1575;&#1574;&#1585; &#1575;&#1604;&#1603;&#1575;&#1585;&#1583;&#1610;&#1606;&#1575;&#1604; &#1575;&#1604;&#1571;&#1581;&#1605;&#1585; &#1575;&#1604;&#1605;&#1605;&#1610;&#1586;&#1548; &#1571;&#1581;&#1583; &#1588;&#1582;&#1589;&#1610;&#1575;&#1578; &#1604;&#1593;&#1576;&#1577; &#1575;&#1604;&#1591;&#1610;&#1608;&#1585; &#1575;&#1604;&#1594;&#1575;&#1590;&#1576;&#1577; angry birds &#1575;&#1604;&#1588;&#1607;&#1610;&#1585;&#1577; ! &#8226; http://t.co/0lowkClb,
4362,td,4390,0,0,0,0,2,&#8220;@trayn1gga: Charlie Strong WILL have Texas back as a power&#8221; better power of big 12 is anybody's now,
21505,td,21533,0,0,0,0,0,RT @halfricannnnn: nigger,
26299,td,26327,0,0,0,0,2,got my bitch in her whip coming to pick me up,
2007,c,2027,0,0,0,0,2,I wrote a blog about how the election results can be life of death for some disabled people: https://t.co/vLmRzdBlF0 @BBCRadio4,8.75025193084834E+017
23840,td,23868,0,0,0,0,2,That nigga Tannehill trash lmao Dolphins trash,
15848,td,15876,0,0,0,0,2,Nobody gives me a trophy cause I'm old and colored #FavStarTweets&#160;,
25117,td,25145,0,0,0,0,2,When bitches I work with are on there period ...,
25636,td,25664,0,0,0,0,2,Yoga has been around for ages and these bitches just now figuring it out,
