id,class
595380689534656512,2
563757610327748608,2
563082741370339330,2
596962098845851648,2
563874350038675457,2
597240424873394176,2
595306172833353728,2
562706485126643713,2
564678824953008128,2
571035328384884736,2
595375793301131265,2
598769509248335873,2
572068636338364417,1
572346645897064448,2
575080651709247489,2
571033583285985281,2
571387182293725184,2
573222765957816320,2
603664815454875648,2
568820924855615489,2
575501717103644672,1
563377797763047425,2
597148153188519936,2
568848293486133248,2
572854416031629313,2
564317491350863872,2
570095648952819713,2
575393332328722432,1
565029767708033024,2
562943065523240961,2
570997249846571008,2
603676994925133826,2
598512784377122816,2
603688066105081856,2
603649396484407296,2
598336838680477697,2
562787963785191425,2
569957017655226369,2
570994931231117315,2
569150960783769601,2
575742743730745344,1
563851316665925632,2
563501697398370304,2
569201849229664256,2
569177003644964864,2
563093253378289665,2
570993190724964352,2
575417042150387712,2
596355644883501056,2
565593365245612032,2
597344466152792065,2
569744463670566913,2
594917674448072704,1
564674500390682624,2
595102568667217920,2
568436195966889984,2
565363377309241344,2
595115846613139456,2
564904052652113920,1
573954693690355712,2
596964493449560064,2
603682460191203328,1
598194795421376512,2
563768704115023872,2
571000078405537794,2
568456509421518848,2
572270547502907392,1
570732311840473089,2
576433212156563456,1
571717540713381888,2
575155695080730624,2
571741933233565696,2
595328640088285184,2
572347254335385600,2
574417568229761025,2
564678219333246976,2
603681832173961216,1
596592358772191232,2
563826405784305666,2
599724801322659840,2
571740177137184768,2
603665369119592448,1
569612886722486272,2
575347321140969472,2
571354609622495232,2
570994652993556481,2
563093321418309633,2
602445487753535488,0
563309529614409730,2
603687162077433856,2
566069269084262401,2
571733391919337472,2
597872004235010048,2
576532163526406144,1
576554873468035072,1
562767924205998081,2
576104877144723456,2
576572940474515456,2
603569556469190656,1
562736780487974914,2
575695464613310464,1
572973809969442817,2
570814936219127809,2
575710263879430144,1
565028387232546816,2
603695258870947840,1
571004298860998657,1
562855493992218625,2
603661823095615488,2
598042005013340160,2
562704332098113537,2
571451196377927680,2
575646184758337537,1
572343481219207168,2
564322083459432448,2
576094311856484352,2
618367060117098498,1
603553480754778112,1
564907851886247936,2
572336241871478786,1
569916467124137985,2
565320643731025920,2
564317908243726336,2
572340379736911872,2
565320815114473472,2
573587423520653312,2
576035486956789760,2
595397515849043968,2
575732869215158273,1
596731670281097218,2
573205121435369472,2
568678698615836672,2
597564077875941376,2
575156376458039296,2
568140460322996224,2
565755824858226688,2
597552063615238144,2
571541585407565824,1
575860144355041280,1
573277464601894913,2
569181952424562688,2
566432510591377409,2
598668549234642945,2
572127937580949505,1
566779836044419072,2
571899941817331713,1
576189889550684160,1
572335501765574656,2
596106196253184000,2
574888402077667329,2
572261148323676160,1
576512492643491841,2
597142165316247552,2
572318519464865792,2
572337351214559232,2
603660142522032130,3
569632316454084608,2
569015083721818113,2
570738449122136065,1
572279223525621760,2
566467902870925312,2
597366877258588161,2
564898715840700417,2
570992871211274242,2
565327930335952896,2
563461334814052352,2
569625666582216704,2
572346694127394817,2
568673584064782337,2
570850963986059264,2
595376524880060416,2
572345440600907777,1
576552013955080192,2
572338526886363136,2
596748021695578112,2
564627148577595393,2
570639722600538113,2
564317814693978114,2
572490037230628864,2
567355729862868992,2
572344083017936896,2
574410915367399424,2
572335490885529600,2
603678413078028289,2
568663401657864192,2
564730068748861440,2
576430495308730368,2
576130274498510849,1
575355446124396544,2
565359433686208512,2
595384140142379008,2
572336811948687362,2
566309357252780032,1
562715323003318273,2
572336302500134912,2
576517777864798208,1
572604868692594689,2
571001349376069632,2
576517274254749696,2
571380410539581440,2
597104315971448832,2
568130839982157824,2
571103188029276162,1
562786361045164032,2
573265516883648512,2
603547693504421888,1
603581009595084800,0
567047586515677185,2
566072331127492608,2
565761296264859649,2
573268706010120192,2
573474434050301952,2
595863871073587200,2
571423471223222272,2
576241537484496896,1
563556066953154560,1
598493860860309504,2
603686720819875843,1
571440668813307904,2
598393695436546048,2
570995887876349952,2
562857483698728960,2
568300748125024256,2
568455802383511552,2
572348198062170112,1
563556102541803520,2
594913814321102849,2
596801639303938049,2
603059827313618944,2
570801788120653824,1
572337876911857664,2
603653864093577216,2
603027319352070145,2
598911047118901248,2
603654764618997762,1
570847322139045889,2
598974214620581888,2
563553471966613505,2
594297574053412864,2
576569252687163392,1
571422590545170432,2
571622027171246080,1
576641140922822656,2
575545766741147649,2
575897095997034496,2
568265489878642689,2
568317293689593856,2
603668696486129664,2
595392198956306432,2
569956626544730112,2
575768598762930176,1
562767280736829441,2
568212707331018754,2
596737027602653184,2
575774275715489792,2
572336719988588545,1
566443446089842689,2
571168385578479617,1
570057784588247040,2
596708887144706048,2
576588305338339328,1
603671719090515968,2
570962620934696961,1
574462678854332417,2
